year	period	no.ice	doy	enso	co2	sunspots	air.t.as	aod	reff
1868	2	1	NA	0.554	286.593	37.6	15.224	0	0.2
1869	2	0	-10	1.744	286.9253	74.1	14.266	0	0.2
1870	2	0	-8	-0.657	287.2732	139.1	14.843	0	0.2
1871	2	0	-13	-1.744	287.6232	111.1	13.736	0	0.2
1872	2	NA	NA	0.038	287.9655	101.4	14.75	0.001	0.2
1873	2	NA	NA	-0.006	288.2899	66	14.927	0.008	0.2
1874	2	NA	NA	-0.087	288.5816	44.6	15.029	0.002	0.2
1875	2	NA	NA	-0.15	288.8137	17	13.81	0.01	0.22
1876	2	NA	NA	0.099	288.9908	11.3	14.731	0.003	0.2
1877	2	NA	NA	0.544	289.1266	12.4	15.048	0.001	0.2
1878	2	NA	NA	1.775	289.2347	3.4	15.568	0	0.2
1879	2	1	NA	-1.302	289.3289	6	15.429	0	0.2
1880	2	NA	NA	-1.643	289.4227	32.2	15.354	0	0.2
1881	2	NA	NA	0.19	289.5298	54.3	14.992	0	0.2
1882	2	NA	NA	0.458	289.6638	59.4	15.159	0	0.2
1883	2	NA	NA	-0.57	289.8385	63.7	14.294	0.02	0.28
1884	2	NA	NA	0.84	290.0675	63.5	13.903	0.157	0.54
1885	2	NA	NA	1.691	290.3613	51.8	14.573	0.073	0.42
